# X_606 Y_606 MAG_dp_606 ERR_dp_606 CHI_606 SHARP_606 STMAG_606 RA_606 DEC_606 X_814 Y_814 MAG_dp_814 ERR_dp_814 CHI_814 SHARP_814 STMAG_814 RA_814 DEC_814 ERR_606 ERR_814 sgFlag_606 sgFlag_814 sgXFlag
379.034 573.235 14.253 0.0685 4.903 0.801 24.9412 162.3288 51.0902 381.191 570.371 14.638 0.0962 6.099 1.224 25.4161 162.3288 51.0902 0.0092 0.0126 0 0 0.0
790.777 574.008 16.187 0.032 0.79 0.139 26.8752 162.334 51.0879 792.812 570.949 16.019 0.0373 1.103 0.334 26.7971 162.334 51.0879 0.0296 0.0277 1 1 1.0
4486.396 575.094 16.148 0.0397 1.162 -0.058 26.8362 162.3806 51.0671 4488.527 572.049 15.998 0.0257 0.721 -0.068 26.7761 162.3806 51.0671 0.0289 0.0274 1 1 1.0
4537.012 575.834 16.771 0.1215 2.532 1.438 27.4592 162.3813 51.0668 4539.137 572.979 17.073 0.096 1.483 1.051 27.8511 162.3813 51.0668 0.0421 0.0512 0 0 0.0
377.877 578.683 14.829 0.0849 4.391 0.891 25.5172 162.3287 51.0902 379.647 575.768 15.351 0.1101 4.738 1.266 26.1291 162.3287 51.0902 0.013 0.0189 0 0 0.0
5819.228 580.374 14.602 0.0359 2.321 0.478 25.2902 162.3974 51.0596 5821.34 577.359 14.848 0.0306 1.725 0.386 25.6261 162.3974 51.0596 0.0113 0.0142 0 0 0.1
579.411 580.86 16.789 0.0573 0.937 -0.071 27.4772 162.3312 51.0891 581.164 577.66 17.62 0.0759 0.588 0.157 28.3981 162.3312 51.0891 0.0426 0.0706 1 1 1.0
1908.143 580.134 17.575 0.2226 2.085 -3.091 28.2632 162.348 51.0816 1909.35 578.313 17.205 0.1261 1.82 -0.586 27.9831 162.348 51.0816 0.0686 0.0553 0 0 0.0
3118.051 582.95 13.918 0.0319 2.596 0.025 24.6062 162.3633 51.0748 3120.034 579.911 14.037 0.0181 1.33 -0.058 24.8151 162.3633 51.0748 0.0085 0.0093 0 1 0.8
3097.023 583.947 16.235 0.0995 2.973 1.297 26.9232 162.363 51.0749 3099.023 581.256 16.391 0.1034 2.724 1.165 27.1691 162.363 51.0749 0.0305 0.0344 0 0 0.0
5830.604 584.041 16.047 0.0928 2.815 1.148 26.7352 162.3975 51.0595 5832.831 581.25 16.033 0.1122 3.615 1.379 26.8111 162.3975 51.0595 0.0272 0.028 0 0 0.0
3987.224 587.878 17.087 0.0542 0.779 0.263 27.7752 162.3742 51.0698 3989.206 584.933 16.723 0.0292 0.456 0.021 27.5011 162.3742 51.0698 0.051 0.0418 1 1 1.0
833.716 590.161 17.284 0.0738 0.856 0.363 27.9722 162.3344 51.0876 835.924 587.454 17.086 0.0891 1.299 0.755 27.8641 162.3344 51.0876 0.0575 0.0516 1 0 0.8
3074.316 602.275 17.262 0.0674 0.851 -0.18 27.9502 162.3626 51.0749 3076.325 599.23 16.889 0.0407 0.61 -0.01 27.6671 162.3626 51.0749 0.0567 0.046 1 1 1.0
1176.959 605.534 16.992 0.0647 0.92 0.57 27.6802 162.3386 51.0855 1178.694 602.586 17.348 0.0826 0.95 0.563 28.1261 162.3386 51.0855 0.0482 0.0602 1 1 1.0
1103.139 609.281 16.873 0.0854 1.454 0.643 27.5612 162.3376 51.0859 1105.502 606.449 17.576 0.0674 0.559 -0.006 28.3541 162.3376 51.0859 0.0448 0.0688 0 1 0.8
619.847 611.897 16.438 0.0757 1.782 0.619 27.1262 162.3315 51.0886 621.806 609.055 16.448 0.0927 2.254 0.788 27.2261 162.3315 51.0886 0.0345 0.0356 0 0 0.0
409.609 621.585 12.31 0.0407 4.505 0.509 22.9982 162.3287 51.0897 411.569 618.6 12.734 0.0246 2.515 -0.048 23.5121 162.3287 51.0897 0.0085 0.0093 0 1 0.8
4105.574 626.171 16.462 0.0724 1.819 0.751 27.1502 162.3754 51.0689 4107.649 623.245 15.388 0.0536 2.514 0.668 26.1661 162.3754 51.0689 0.035 0.0193 0 0 0.0
